class_index,Recipe Name,Ingredients,Instructions
11,bruschetta,"bagutte,tomatoes,fresh basil,garlic,balsamic vinegar,olive oil,salt,black pepper","Prepare the Bread: Preheat your oven to 400°F (200°C). Slice a baguette or rustic loaf into 1/2-inch thick slices. Arrange the slices on a baking sheet and brush each side with olive oil. Toast in the oven for 5-7 minutes, or until golden and crispy.

Prepare the Topping: Dice 4 ripe tomatoes and place them in a bowl. Add 1/4 cup finely chopped red onion, 2 tablespoons chopped fresh basil, 1 clove garlic (minced), and 1 tablespoon balsamic vinegar. Season with salt and pepper to taste. Mix gently and let the flavors meld for about 10 minutes.

Assemble the Bruschetta: Spoon the tomato mixture onto the toasted bread slices just before serving to prevent the bread from getting soggy.

Serve: Serve the bruschetta immediately as an appetizer or snack, drizzling with extra olive oil if desired. Enjoy!"
12,caesar_salad,"romaine lettuce,croutons,parmesan cheese,caesar dressing,lemon juice,anchovy fillets","Prepare the Dressing: In a bowl, whisk together 1/2 cup mayonnaise, 2 tablespoons Dijon mustard, 2 tablespoons lemon juice, 2 teaspoons Worcestershire sauce, 2 teaspoons anchovy paste (or 2 anchovy fillets, finely minced), and 1 garlic clove (minced). Gradually add 1/2 cup olive oil while whisking until the dressing is smooth. Season with salt and freshly ground black pepper to taste.

Prepare the Romaine: Wash and dry 2 heads of romaine lettuce. Tear or chop the lettuce into bite-sized pieces and place it in a large salad bowl.

Prepare the Croutons: Cut 2 cups of day-old bread (such as French or Italian) into cubes. Heat 2 tablespoons olive oil in a skillet over medium heat, then add the bread cubes and toast them for 5-7 minutes, stirring occasionally, until golden brown. Alternatively, you can bake the bread cubes in the oven at 375°F (190°C) for about 10-12 minutes.

Assemble the Salad: Add the prepared croutons to the lettuce, then drizzle with the Caesar dressing. Toss gently to coat the lettuce and croutons evenly. 

Serve: Finish with a generous sprinkle of grated Parmesan cheese and an optional grind of black pepper. Serve immediately and enjoy!"
13,cannoli,"flour,sugar,cocoa powder,salt,unsalted butter,egg,white wine,vinegar,egg wash,ricotta cheese,powdered sugar,vanilla extract,mini chocolate chips,pistachios","Prepare the Shells: In a bowl, combine 2 cups all-purpose flour, 2 tablespoons granulated sugar, 1/4 teaspoon cinnamon, and a pinch of salt. Cut in 2 tablespoons unsalted butter until the mixture resembles coarse crumbs. Add 1 large egg, 1/4 cup dry white wine, and 1 teaspoon vanilla extract. Mix until the dough comes together. Knead the dough on a floured surface until smooth, then wrap in plastic wrap and refrigerate for at least 1 hour.

Roll and Fry the Shells: After chilling, roll the dough out to 1/8-inch thickness and cut into 3-inch circles. Wrap each circle around metal cannoli tubes, sealing the edges with a little beaten egg. Heat vegetable oil in a deep fryer or large pot to 350°F (175°C). Fry the cannoli shells in batches for 2-3 minutes, until golden brown. Remove from the oil and drain on paper towels. Let the shells cool completely before removing them from the tubes.

Prepare the Filling: In a large bowl, mix 2 cups ricotta cheese (drained), 1 cup powdered sugar, 1 teaspoon vanilla extract, and 1/4 teaspoon cinnamon until smooth and well combined. If desired, fold in 1/2 cup mini chocolate chips or candied orange peel for added flavor.

Assemble the Cannoli: Once the shells have cooled, carefully fill them with the ricotta mixture using a piping bag or spoon. Be sure to fill only the ends, leaving the middle open to prevent the shells from getting soggy.

Serve: Dust the filled cannoli with powdered sugar and garnish with additional mini chocolate chips or chopped pistachios on the ends. Serve immediately for the best texture and enjoy!"
14,caprese_salad,"fresh mozzarella,tomatoes,fresh basil,olice oil,balsamic vinegar,salt,black pepper","Prepare the Ingredients: Slice 4 ripe tomatoes into thick rounds. Slice 8 ounces fresh mozzarella cheese into similar thickness. Tear fresh basil leaves into smaller pieces or leave them whole, depending on your preference.

Assemble the Salad: Arrange the tomato slices, mozzarella slices, and basil leaves in an alternating pattern on a large plate or platter.

Drizzle with Dressing: Drizzle 2-3 tablespoons extra virgin olive oil and 1 tablespoon balsamic vinegar over the salad. Season with salt and freshly ground black pepper to taste.

Serve: Serve immediately as a refreshing appetizer or side dish. Optionally, sprinkle with a pinch of sea salt or additional fresh basil. Enjoy!"
15,carrot_cake,"flour,sugar,baking powder,baking soda,cinnamon,nutmeg,salt,eggs,vegatable oil,vanilla,carrots,chopped walnuts,pecans,cream cheese,butter","Prepare the Dry Ingredients: Preheat your oven to 350°F (175°C). Grease and flour two 9-inch round cake pans. In a large bowl, whisk together 2 cups all-purpose flour, 1 1/2 teaspoons baking powder, 1 1/2 teaspoons baking soda, 1/2 teaspoon salt, 1 teaspoon ground cinnamon, and 1/2 teaspoon ground nutmeg.

Prepare the Wet Ingredients: In another bowl, whisk together 4 large eggs, 1 1/2 cups granulated sugar, and 1/2 cup vegetable oil until smooth and combined. Stir in 1 teaspoon vanilla extract and 2 cups grated carrots.

Combine the Mixtures: Gradually fold the wet ingredients into the dry ingredients until just combined. Optionally, stir in 1/2 cup chopped walnuts or pecans for added texture.

Bake the Cake: Pour the batter evenly into the prepared cake pans. Bake in the preheated oven for 30-35 minutes, or until a toothpick inserted into the center comes out clean.

Prepare the Frosting: While the cakes bake, beat 8 ounces cream cheese (softened) and 1/4 cup unsalted butter until smooth. Gradually add 3-4 cups powdered sugar, 1 teaspoon vanilla extract, and a pinch of salt. Beat until fluffy.

Assemble the Cake: Once the cakes have cooled, spread a layer of cream cheese frosting between the layers and on top and sides of the cake. 

Serve: Decorate the cake with additional walnuts or grated carrots, if desired. Serve and enjoy!"
16,ceviche,"fresh white fish,limes,red onion,tomato,cucumber,cilanto,jalapeno,salt,black pepper,avocado","Prepare the Fish: Use 1 pound of fresh white fish (such as tilapia, snapper, or mahi-mahi) or shrimp. Dice the fish into small, bite-sized pieces or slice the shrimp into smaller pieces. Place the seafood in a bowl.

Marinate the Seafood: Squeeze the juice of 6-8 limes over the seafood, ensuring it is fully covered. Add 1/2 cup freshly squeezed lemon juice if desired. Stir to combine, then cover and refrigerate for 2-3 hours, or until the seafood appears ""cooked"" and opaque.

Prepare the Vegetables: Dice 1 small red onion, 1-2 tomatoes, and 1 cucumber. Chop a handful of fresh cilantro and finely mince 1-2 jalapeño peppers (optional, for heat). 

Combine the Ingredients: After the seafood has marinated, add the diced vegetables and herbs to the bowl. Stir to combine.

Season: Add salt and freshly ground black pepper to taste. If you like extra tang, you can add a splash of orange juice or a little extra lime juice.

Serve: Serve the ceviche chilled, garnished with extra cilantro, and accompanied by tortilla chips or crisp lettuce leaves for dipping. Enjoy!"
17,caprese_salad,"fresh mozzarella,tomatoes,fresh basil,olive oil,balsamic vinegar,salt,black pepper","Prepare the Ingredients: Slice 4 ripe tomatoes into thick rounds. Slice 8 ounces of fresh mozzarella cheese into similar thickness. Tear fresh basil leaves into smaller pieces or leave them whole, depending on your preference.

Assemble the Salad: Arrange the tomato slices, mozzarella slices, and basil leaves on a large plate or platter, alternating them in a circular or linear pattern.

Drizzle with Dressing: Drizzle 2-3 tablespoons of extra virgin olive oil and 1 tablespoon of balsamic vinegar over the salad. Season with salt and freshly ground black pepper to taste.

Serve: Serve immediately as a refreshing appetizer or side dish. Optionally, sprinkle with sea salt, more fresh basil, or a touch of balsamic glaze for extra flavor. Enjoy!"
18,cheese_plate,"soft cheese,crackers,bread,fresh fruit,dried fruit,nuts,honey,fig jam","Prepare the Cheeses: Select a variety of cheeses with different textures and flavors. Slice or cut the cheeses into small wedges, cubes, or slices, depending on the type.

Arrange the Cheeses: Place the cheeses on a large platter, leaving space between each one to allow for easy access.

Add Accompaniments: Add a selection of fruits, nuts, crackers, or bread to complement the cheeses. Consider including something sweet like jam or honey for variety.

Garnish: Optionally, garnish the platter with fresh herbs for an elegant touch.

Serve: Let the cheeses come to room temperature before serving to enhance their flavor. Enjoy your cheese plate with wine or your preferred beverage!"
19,cheesecake,"graham cracker crumbs,granulated sugar,butter,cheese,sugar,vanilla,eggs,sour cream,flour","Prepare the Crust: Preheat your oven to 325°F (163°C). In a bowl, combine 1 1/2 cups graham cracker crumbs, 1/4 cup sugar, and 1/2 cup melted butter. Press the mixture into the bottom of a greased 9-inch springform pan to form an even crust. Bake for 8-10 minutes, then remove from the oven and allow to cool.

Prepare the Filling: In a large mixing bowl, beat 3 packages (8 oz each) cream cheese until smooth. Add 1 cup granulated sugar and 1 teaspoon vanilla extract, and beat until combined. Add 3 large eggs, one at a time, mixing well after each addition. Mix in 1/4 cup sour cream and 2 tablespoons all-purpose flour until smooth and creamy.

Assemble the Cheesecake: Pour the cream cheese mixture over the cooled crust in the springform pan, smoothing the top with a spatula.

Bake the Cheesecake: Bake in the preheated oven for 45-50 minutes, or until the center is set but still slightly jiggly. Turn off the oven and let the cheesecake cool in the oven with the door slightly ajar for 1 hour. Then refrigerate for at least 4 hours or overnight.

Serve: Once chilled, remove the cheesecake from the springform pan and transfer to a serving plate. Optionally, top with fruit, whipped cream, or a drizzle of chocolate or caramel sauce. Enjoy!"
20,chicken_curry,"chicken,onion,garlic,ginger,tomatoes,coconut milk,chicken broth,curry powder,turmeric,cumin,coriander,pepper,vegetable oil,salt,fresh cilantro","Prepare the Ingredients: Cut 1 1/2 lbs chicken (boneless, skinless) into bite-sized pieces. Dice 1 onion, chop 2 tomatoes, and mince 3 cloves garlic and 1-inch piece of ginger. Gather your spices: 1 tablespoon curry powder, 1 teaspoon ground cumin, 1 teaspoon ground coriander, 1/2 teaspoon turmeric, and 1/2 teaspoon chili powder.

Cook the Chicken: Heat 2 tablespoons of vegetable oil in a large pan over medium heat. Add the chicken pieces and cook until browned and cooked through, about 5-7 minutes. Remove the chicken from the pan and set it aside.

Cook the Aromatics: In the same pan, add 1 more tablespoon of oil and sauté the diced onion until softened and golden, about 5 minutes. Add the minced garlic and ginger and cook for another minute until fragrant.

Prepare the Sauce: Add the chopped tomatoes and cook for 3-4 minutes, until they soften. Stir in the spices and cook for 1-2 minutes to bring out their flavors. Add 1 cup of coconut milk and 1/2 cup chicken broth. Stir to combine and bring the mixture to a simmer.

Combine the Chicken and Sauce: Return the cooked chicken to the pan, stirring to coat the chicken with the sauce. Simmer for 10-15 minutes to let the flavors meld together and the sauce thicken.

Serve: Serve the chicken curry over steamed rice and garnish with fresh cilantro. Enjoy!"
21,chicken-quesadilla,"chicken breast,flour tortillas,cheddar cheese,red onion,bell pepper,olive oil,sour cream,salsa,cumin,chilli powder,salt,powder","Prepare the Chicken: Season 1 lb of chicken breast or thighs with salt, pepper, and your choice of spices (such as chili powder, cumin, and garlic powder). Cook the chicken in a skillet with 1 tablespoon of oil over medium heat for about 6-7 minutes per side, or until fully cooked. Remove from the skillet and shred the chicken using two forks.

Prepare the Filling: In a bowl, mix the shredded chicken with 1 cup of shredded cheese (such as cheddar, Monterey Jack, or a blend), 1/4 cup diced onions, 1/4 cup diced bell peppers, and 1/4 cup salsa or sour cream, depending on your preference.

Assemble the Quesadillas: Heat a non-stick skillet or griddle over medium heat. Place a tortilla in the skillet and spread the chicken mixture evenly over half of the tortilla. Fold the other half of the tortilla over to cover the filling.

Cook the Quesadilla: Cook the quesadilla for 2-3 minutes on each side, or until the tortilla is golden brown and the cheese has melted. Repeat with the remaining tortillas and filling.

Serve: Slice the quesadilla into wedges and serve with additional salsa, guacamole, or sour cream on the side. Enjoy!"
22,chicken_wings,"chicken wings,olive oil,garlic powder,onion powder,paprika,cayenne pepper,salt,pepper,hot sauce,honey,butter","Prepare the Wings: Preheat your oven to 400°F (200°C). Pat 2 lbs of chicken wings dry with paper towels to remove excess moisture. Season the wings with salt, pepper, and 1 teaspoon of garlic powder, 1 teaspoon of onion powder, and 1/2 teaspoon of paprika for added flavor. Optionally, toss the wings in 1-2 tablespoons of olive oil for a crispier texture.

Cook the Wings: Arrange the seasoned wings on a baking sheet lined with parchment paper or a wire rack for better air circulation. Bake in the preheated oven for 30-40 minutes, flipping halfway through, until the wings are golden brown and crispy.

Prepare the Sauce: In a saucepan, melt 1/4 cup of butter over medium heat. Stir in 1/4 cup of hot sauce, 1 tablespoon of honey (for sweetness), 1 tablespoon of soy sauce, and 1/2 teaspoon of garlic powder. Simmer for 2-3 minutes, stirring occasionally, until the sauce thickens slightly.

Coat the Wings: Once the wings are cooked, transfer them to a large bowl. Pour the prepared sauce over the wings and toss to coat them evenly.

Serve: Serve the wings immediately with celery sticks and a side of ranch or blue cheese dressing for dipping. Enjoy!"
23,chocolate_cake,"flour,sugar,cocoa powder,basking powder,baking soda,salt,eggs,milk.vegetable oil,vanilla extract,boiling water","Prepare the Dry Ingredients: Preheat your oven to 350°F (175°C). Grease and flour two 9-inch round cake pans. In a bowl, whisk together 1 3/4 cups all-purpose flour, 1 1/2 cups granulated sugar, 1/2 cup unsweetened cocoa powder, 1 1/2 teaspoons baking powder, 1 1/2 teaspoons baking soda, and 1/2 teaspoon salt.

Prepare the Wet Ingredients: In another bowl, whisk together 2 large eggs, 1 cup whole milk, 1/2 cup vegetable oil, and 2 teaspoons vanilla extract. Add 1 cup boiling water and mix until smooth (the batter will be thin).

Combine the Mixtures: Gradually add the wet ingredients to the dry ingredients and stir until well combined.

Bake the Cake: Pour the batter evenly into the prepared pans. Bake for 30-35 minutes, or until a toothpick inserted into the center comes out clean. Allow the cakes to cool in the pans for 10 minutes, then transfer to a wire rack to cool completely.

Prepare the Frosting: In a bowl, beat 1/2 cup softened butter until creamy. Add 2/3 cup unsweetened cocoa powder, 3 cups powdered sugar, 1/3 cup milk, and 1 teaspoon vanilla extract. Beat until smooth and fluffy.

Assemble the Cake: Once the cakes have cooled, spread a layer of frosting between the cake layers and on top and sides of the cake.

Serve: Decorate with chocolate shavings, sprinkles, or extra frosting as desired. Slice and enjoy!"
24,chocolate_mousse,"dark chocolate,heavy cream,egg yolks,sugar,vanilla extract,salt","Prepare the Chocolate: Chop 8 ounces of dark chocolate (about 70% cocoa) into small pieces. Melt the chocolate by placing it in a heatproof bowl over simmering water (double boiler method) or microwaving in 20-second intervals, stirring in between until smooth. Set aside to cool slightly.

Whip the Cream: In a separate bowl, whip 1 cup of heavy cream and 2 tablespoons of powdered sugar with a hand mixer or stand mixer until soft peaks form.

Prepare the Egg Yolks: In another bowl, whisk together 3 egg yolks and 1/4 cup granulated sugar until the mixture becomes pale and thick. Heat 1/4 cup of water in a small saucepan until warm, then gradually add it to the egg mixture, whisking constantly. Place the bowl over a double boiler and whisk until the mixture reaches 160°F (71°C). Remove from heat and let it cool.

Combine the Mixtures: Gently fold the melted chocolate into the egg mixture until smooth. Then, fold in the whipped cream in three parts, being careful not to deflate the mixture. Continue folding until well combined.

Chill the Mousse: Spoon the mousse into individual serving cups or a large bowl. Refrigerate for at least 2-3 hours, or until set.

Serve: Serve chilled with whipped cream, chocolate shavings, or fresh berries for garnish. Enjoy!"
25,churros,"water,butter,sugar,salt,flour,eggs,vegetable oil,cinnamon","Prepare the Dough: In a saucepan, combine 1 cup water, 2 tablespoons sugar, 1/2 teaspoon salt, and 2 tablespoons vegetable oil. Bring to a boil over medium heat, stirring occasionally. Once boiling, remove from heat and stir in 1 cup all-purpose flour until the dough forms a smooth ball. Let the dough cool for a few minutes.

Prepare the Oil: Heat about 3 cups of vegetable oil in a deep pan or pot over medium-high heat until it reaches 350°F (175°C).

Prepare the Sugar Coating: In a shallow bowl, mix 1/2 cup sugar with 1 teaspoon ground cinnamon.

Shape the Churros: Transfer the dough to a piping bag fitted with a star-shaped tip. Once the oil is hot, carefully pipe 4-6 inch long strips of dough into the hot oil. Fry in batches, being careful not to overcrowd the pan, until golden and crispy, about 2-3 minutes per side.

Drain and Coat: Remove the churros from the oil and place them on a paper towel-lined plate to drain excess oil. While still warm, roll the churros in the cinnamon-sugar mixture until fully coated.

Serve: Serve the churros immediately with a side of chocolate or caramel dipping sauce. Enjoy!"
